Egg Number;Egg Position;Volume (cm3) - Algorithm 1;Volume (cm3) - Algorithm 2;
244;15;60,52;64,84;
245;16;60,35;64,77;
246;17;57,58;65,75;
247;18;46,76;61,4;
248;19;51,18;69,26;
249;20;56,80;65,67;
250;21;61,68;66,37;
251;22;55,23;58,98;
252;23;54,07;63,48;
253;24;43,01;61,46;
254;25;36,97;61,1;
255;26;46,18;59,85;
256;27;58,01;67,86;
257;28;54,76;64,32;
258;29;44,33;58,99;
259;30;35,31;64,82;
260;1;46,98;74,66;
261;2;52,61;65,45;
262;3;63,61;73,16;
263;4;55,75;63,56;
264;5;49,39;58,77;
265;6;45,04;65,75;
266;7;47,40;63,95;
267;8;61,09;69,26;
268;9;61,56;64,63;
269;10;60,71;64,37;
270;11;55,36;60,37;
271;12;50,29;69,87;
272;13;52,78;69,85;
273;14;57,27;64,63;
274;15;61,22;65,6;
275;16;65,74;70,56;
276;17;60,91;69,56;
277;18;47,56;62,45;
278;19;47,89;64,8;
279;20;60,30;69,72;
280;21;59,19;63,69;
281;22;57,74;61,65;
282;23;57,90;67,98;
283;24;45,62;65,2;
284;25;39,76;65,71;
285;26;45,45;58,91;
286;27;55,70;65,16;
287;28;57,59;67,64;
288;29;44,22;58,84;
289;30;39,78;73,02;
290;1;38,31;60,88;
291;2;48,00;59,71;
292;3;53,60;61,64;
293;4;49,28;56,18;
294;5;51,82;61,66;
295;6;40,89;59,68;
296;7;47,22;63,71;
297;8;51,45;58,33;
298;9;63,88;67,06;
299;10;55,52;58,87;
300;11;59,47;64,85;
301;12;44,17;61,37;
302;13;42,92;56,8;
303;14;52,12;58,81;
304;15;51,78;55,48;
305;17;49,11;56,09;
306;18;43,54;57,17;
307;19;43,23;58,49;
308;20;49,21;56,89;
309;21;53,92;58,01;
310;22;51,52;55,01;
311;24;37,97;54,26;
312;25;33,88;55,99;
313;26;48,24;62,52;
314;27;53,64;62,75;
315;28;48,94;57,48;
316;29;46,14;61,39;
317;30;36,33;66,69;
318;1;40,89;64,98;
319;2;51,33;63,86;
320;3;53,75;61,82;
321;4;51,34;58,53;
322;5;52,76;62,77;
323;6;42,31;61,75;
324;7;44,34;59,83;
325;8;52,74;59,8;
326;9;52,34;54,95;
327;10;54,61;57,91;
328;11;55,62;60,65;
329;12;47,95;66,63;
330;13;45,14;59,74;
331;14;52,66;59,42;
332;16;49,55;53,18;
333;17;48,26;55,11;
334;18;43,25;56,8;
335;19;38,01;51,44;
336;20;45,60;52,72;
337;21;51,18;55,07;
338;22;58,39;62,35;
339;23;47,05;55,24;
340;24;45,00;64,3;
341;25;31,10;51,39;
342;26;42,74;55,4;
343;27;49,86;58,33;
344;28;51,87;60,91;
345;29;45,12;60,03;
346;30;34,04;62,48;
